1)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"54","autumn","large","low",7.2,9,65.333,3.765,122.85,180.66701,46.6,0.8,4.2,3.4,0,0,2.7,17.7,0
"55","summer","large","medium",7.5,7.1,40.226,8.759,89.6,151.125,200.231,17.2,0,0,10.1,11,1.4,0,0
"56","autumn","small","high",8.16,8.5,29.775,3.14,737.5,85.5,304,27.618,4,0,0,0,1,0,2.4
"57","spring","medium","high",6.6,7.7,6.167,1.32,10,1,77.434,5.475,58.7,0,0,7.7,0,0,0
"58","spring","small","medium",9,10.7,27.4,2.304,10,234.5,6,5.475,17.1,3.1,2.2,0,0,7.9,0
"59","spring","medium","high",6.6,6.5,0.8,4.508,643,181,102.333,0.6,1.7,1.9,22,0,6.6,0,0
"60","summer","large","high",7.78,6.6,32.73,2.231,920,1,11.5,5.475,0,11.6,1.9,0,0,1.2,1.4
"61","winter","small","medium",8.7,11.7,32.73,5.97,170.909,24,85,15.6,1.2,0,0,0,0,0,0
"62","winter","small","medium",8,9.8,79.077,1.588,34.333,412.33301,127,2.5,12.5,0,1,0,1.2,1.9,1.7
"63","autumn","small","medium",7.45,8.8,31.091,5.414,18.429,3.333,3,2.1,0,0,22.9,0,0,1.4,0
"64","summer","medium","medium",7.6,11.3,45.273,4.555,1911,2,170,2,20.3,4.3,0,0,0,2.6,12.5
"65","summer","large","high",8.1,11,47.229,3.14,21.571,104.5,7.2,2.9,15.8,0,7.8,0,6.1,7.5,1.2
"66","winter","large","high",6.8,6.3,3.136,0.923,346.66699,159.5,19,5.111,4.1,0,1.7,0,6.5,0,0
"67","summer","small","medium",8.1,10.7,88,3.444,112.857,144.66701,54.916,4.5,0,0,12.9,3.5,22.5,0,0
"68","autumn","small","medium",8.47,11.17,22.455,0.921,10,20.667,91.111,21.9,55.5,16.4,0,4,0,0,0
"69","spring","large","medium",8.2,10.3,57.848,3.773,25.833,27.25,351.60001,11.6,48.3,0,1.5,0,0,0,2.1
"70","winter","medium","medium",7.5,10.77,7.613,6.188,155,1.625,186,3,64.3,0,4.9,4.6,2.6,0,1.9
"71","spring","small","high",8.7,10.5,12.444,3.778,239,26.625,89.625,7.3,13.6,2.1,1.2,0,9,8.3,0
"72","spring","medium","high",7.62,10.5,69,1.474,2167.37012,4,138.5,5.2,3.6,0,9.4,1.2,13.3,10.6,1.6
"73","summer","medium","low",8.43,10.2,7.25,6.225,5.8,197.83299,72.696,4.9,5.9,4,8.8,0,11.7,21.4,31.6
"74","winter","medium","high",7.57,9.2,7,3.617,244.60001,13,249.25,27.5,52.2,10.5,0,1.2,9.9,17,25.6
"75","summer","medium","low",8.5,10.7,12.146,4.87,103.1665,100,320.39999,54.367,8.8,0,17.6,2.2,11.5,0,2.7
"76","autumn","small","high",8.6,10.9,32.54,2.323,37.5,39,39,26.8,2.2,0,6.6,1.3,9.4,2.4,0
"77","autumn","medium","medium",9.06,7,12.182,0.308,35,45,26,5.45,6.9,5.9,3,1,1.9,0,0
"78","winter","small","high",7.9,9.3,104.818,9.248,122.5,10.8,76.333,18.33,16.8,0,23.2,2.6,0,13.2,2.2
"79","spring","small","low",8.43,8.1,21.95,0.886,172.5,12.75,11.8,5.475,3.3,4.6,11.8,1.4,17.9,1.6,0
"80","spring","small","low",8.7,9.7,11,0.461,32.5,61.556,16,0.6,18.3,0,2.6,7.8,0,1.8,0
"81","summer","medium","high",7.8,10.5,32.73,6.64,1168,12.75,75.904,5.544,15.1,0,25.3,1.4,0,1.5,1.4
"82","summer","large","high",7.3,10.3,53.102,4.459,5738.33008,2.5,219.909,4.3,29.7,0,0,0,0,8.2,14.4
"83","winter","medium","high",8,9.9,4.083,1.519,49,66.4,279.06601,21,56.8,21.5,21.9,1,1.7,0,10.2
"84","summer","medium","medium",5.7,12.1,2.75,1.051,10,23,586,2.15,12.3,4.1,1.6,4.1,5.2,0,31.2
"85","autumn","medium","medium",8.5,9.6,26,3.726,110,10.667,125.8,12.32,6.5,28,0,5.7,4.1,6.2,1.2
"86","winter","small","medium",7.6,11.3,77.364,0.73,81,276.85001,103.2855,1.3,5.3,12.4,1.4,0,16.2,0,22.1
"87","summer","large","medium",7.4,10.8,36.248,0.735,38.111,238.2,142,14.775,54,4.9,3.2,12.7,1.2,0,16.7
"88","spring","large","high",7.8,3.6,48.667,2.805,271.25,209.85699,607.16699,4.3,14.4,2,2.6,0,1.9,1.2,2.4
"89","winter","medium","medium",7.6,9.7,151.83299,1.527,758.75,41.3,2.5,3.6,0,0,6.3,0,0,9.9,1
"90","winter","small","low",8.5,10.8,125.6,0.996,49.5,6,285.71399,41,16.8,0,2.1,0,0,16.7,10.8
"91","winter","medium","medium",7.8,12.1,32.056,1.67,37.778,50.889,17.333,28.4,89.8,5.5,2,11.3,15.9,12.4,0
"92","spring","large","high",8.1,8.5,10.5,5.099,233.7,18.667,40.667,0.5,0,53.6,1.6,1.4,0,15.8,1.5
"93","spring","small","medium",8,11.7,8,7.74,28.333,104.727,233.5,72.478,15.1,5.6,0,0,11.2,2.7,1.4
"94","spring","large","low",8.5,11.5,12,1.572,88.182,24.667,75.333,88.255,74.2,40.9,0,1.6,11.3,0,3.3
"95","spring","medium","high",7.8,11.8,3,4.94,205.66701,1.8,218,2.3,3.1,3.8,0,0,0,0,3.3
"96","summer","medium","low",8.1,8.8,3.5,1.655,109,8.6,141.83299,75,3.3,1.4,1.4,4.4,2.4,32.1,0
"97","winter","medium","high",8.2,11.7,57.75,3.414,98.333,54.1,6.2,81.54,1.9,2.1,0,3.7,1.2,0,0
"98","winter","medium","low",8.4,11.6,57.75,2.163,10,75.875,265.25,6.167,50.6,16.2,0,2.4,1.9,0,0
"99","spring","medium","high",8.15,10.7,27.233,5.13,43.75,51.75,49.333,1,82.7,2.1,7.3,0,0,6.9,0
"100","winter","small","low",9.1,3.2,85.982,1.718,236,4,262.72699,0.3,17,1.5,3.4,1.2,17.8,0,1
"101","winter","medium","high",7.4,10.1,13,1.535,103.1665,4.25,40,2.1,28.1,0,0,0,6.4,42.4,1.9
"102","spring","small","medium",7.3,9.4,49.9,0.672,225,44,254.60001,5.233,0,4.1,0,1.9,1.4,0,1.4
"103","spring","large","medium",8.3,5.7,32.73,8.543,206.53799,84.3,85.4,0.8,39.7,40.7,24.8,0,8.2,0,5.8
"104","summer","large","medium",7.09,9,34.5,0.13,15,28.625,6.75,5.475,8.7,15.2,0,1,3.9,0,0
"105","summer","small","high",8.5,10.7,35.66,0.758,227.60001,467.5,771.59998,53.1,1.4,0,0,1,11.3,3.6,0
"106","spring","small","low",8.22,7.3,48.429,0.941,27.069,1.333,201.778,2,12.3,19.6,3.5,0,0,5.4,5.9
"107","winter","medium","low",8.1,6.7,82.852,0.826,25,428.75,71,65.7,13,1,6.8,0,0,0,0
"108","spring","large","medium",8.8,10.5,2.2,0.642,931.83301,246,138.7,2,23.7,0,0,3.5,11.5,64.6,6.8
"109","summer","medium","high",8.07,8.3,23.25,4.99,11.111,60.833,15,25,3.4,21.7,0,1.2,0,8.3,0
"110","winter","medium","low",8.84,13.4,54.19,2.55,3515,3,221.278,23.8,3.6,28.2,3.9,0,0,0,0
"111","winter","small","medium",8,11.3,31,1.534,51.111,7.667,391.75,93.683,24,20.1,8,4.3,0,0,3.9
"112","spring","medium","high",8.58,1.8,44.205,3.31,215.556,36.909,56.667,2.8,25.4,1.9,10.2,1,3.1,0,2.9
"113","winter","small","high",8.87,4.9,39,0.33,371.11099,16,16.662,31.738,24.8,0,0,7.6,8.6,0,7.1
"114","winter","small","medium",8.1,12,53.425,1.875,118.571,37.857,236,1.1,18,0,10.6,1.2,2.5,0,1.9
"115","autumn","medium","medium",8,9.9,73.25,3.9,217.75,37,11,3,1.4,14.5,0,0,5.3,4.5,1.5
"116","winter","large","high",7.55,10.8,0.222,2.302,10,31.333,361,5.475,43.5,0,2.1,2.4,4.8,2.2,0
"117","spring","medium","medium",7.8,11.4,22.286,2.603,255,132.5,232.83299,5.475,46.9,3.9,1.2,1.2,0,0,2
"118","autumn","medium","medium",8.3,10.1,74.667,3.923,124.167,13,183.66701,3.2,86.6,0,0,0,1.2,0,0
"119","autumn","small","medium",8.3,8.4,53.333,8.984,43.75,102.333,115,24.917,0,0,20.2,0,0,0,0
"120","autumn","small","low",8.2,9.5,1.17,3.2,92,191.75,175.04601,0.2,18.1,13.7,0,0,8.1,0,1.6
"121","autumn","small","high",7.5,8.9,32.73,7.16,123.333,12,252.5,110.456,0,25.4,0,6.6,0,5.5,0
"122","spring","medium","high",7.4,7.1,20.083,5.078,56.364,27.5,10.75,31,1.2,7.5,0,0,7.7,0,5.2
"123","autumn","small","medium",7.8,11.21,32.73,4.908,161.81799,137.60001,222.286,5.475,2.2,5.2,7,0,0,1,0
"124","spring","small","medium",8.9,6.35,7.838,3.85,12.727,36.3,22.9,5.8,1.7,0,1.9,4.6,20.8,4.7,0
"125","spring","medium","high",7.4,7.1,82.111,0.663,84.667,2,127.222,5.2,31.8,0,9,3.7,8.9,0,0
"126","winter","small","medium",8.1,10.4,50,3.235,175,71,124.2,2,1.5,9.6,0,1.8,28.8,33.2,4.3
"127","winter","medium","high",7.61,11.7,39.109,5.099,246.364,87.333,11.818,2.7,0,0,1,0,4.1,20.4,9.7
"128","spring","small","high",7.9,6.9,60.8,3.734,131.66701,564.59998,116.2,0.3,0,4.6,4.8,3.4,1,13.1,0
"129","winter","small","high",8.3,10,101.875,1.51,96.667,4,177.625,92.667,41,0,0,0,0,3.1,2.4
"130","winter","large","high",8.35,10.6,20.625,1.335,429.20001,34.636,58.623,22.7,32.8,8,4.2,1.9,1.2,5.9,0
"131","winter","medium","high",7.93,8.3,129.375,0.267,83.75,48.667,23.485,24.556,4.1,0,2.5,0,3.9,0,0
"132","spring","large","medium",9.5,10.5,11.088,8.688,42,48.625,34,8.957,1.2,7.4,2,13.4,4,0,2.2
"133","winter","large","low",7.8,6.8,38.125,5.164,430,48,187.05701,15.3,0,7.3,5,0,2.4,9.6,0
"134","autumn","large","medium",8.5,6.2,194.75,6.045,51.429,1,317,0.3,0,0,1,8.3,22.1,0,2.4
"135","spring","small","medium",8.4,11.1,34.037,2.102,224.286,7.4,57.833,8.155,1.5,7,1.2,0,1.2,0,0
"136","spring","small","high",8.1,8,39,0.77,120,187,13.6,34.75,10.3,26.5,0,0,9,0,0
"137","winter","medium","low",8.7,11,10.078,1.212,8777.59961,37.375,1,16,2.9,1.7,0,0,3.6,0,0
"138","summer","medium","high",7.5,9.8,11,4.698,101,32.5,432.909,3,0,19.6,0,1.1,0,0,0
"139","summer","medium","low",7.8,10.8,9,0.406,308.75,7.3,82.444,50.225,16.5,2.9,0,0,0,0,0
"140","winter","medium","low",8.3,7.6,10.556,1.443,153,77.333,143.75,20.829,1.9,2.6,0,0,15,15.7,0
"141","winter","medium","medium",8,6.2,10.975,1.47,3466.65991,1.25,232.89999,21.22,2.5,12,1.2,0,0,0,1
"142","winter","medium","medium",8.3,11.7,63.625,6.513,34,67.5,6.5,0.6,18.2,0,2,0,9.5,4.5,1.4
"143","autumn","medium","high",7.9,7.9,10.207,4.071,235,151.33299,14,0.3,3.3,21.5,1.4,4.3,0,0,18.6
"144","summer","medium","high",8.21,10.9,100.83,2.67,10.5,5,235.66701,7.3,18.1,12.7,3.7,1.9,0,8.5,0
"145","winter","medium","high",7,11,50,0.81,142,22.2,147.83299,2.8,4.4,1.2,0,0,1,17.2,0
"146","autumn","medium","high",8.2,3.3,63.292,3.678,196,64.389,101.455,0.8,64.2,0,0,0,1.1,18.2,0
"147","summer","small","high",7.3,11.62,38.902,2.31,60.11,46.667,18.293,3,15.5,6.7,2.7,0,0,0,6
"148","winter","small","high",8,7.9,17.375,3.829,215.714,1,105.727,32,75.8,8.6,6.1,0,10.2,0,0
"149","summer","medium","high",7.7,9,13.5,4.93,1386.25,10,255.28,22.5,12.2,28,11.5,2.2,5,1.2,5.5
"150","autumn","small","medium",8.53,12.5,32.73,3.02,91.833,3.222,188.66701,22.9,16.6,5.6,0,0,3.5,31.8,1.9
"151","summer","medium","high",7.9,9.8,173.75,5.33,461.875,34.5,123.333,11.7,50.4,0,5,0,20,32.9,7.2
"152","winter","small","medium",7.9,11.8,35.75,4.535,90,109,52.875,5.475,0,5.4,4,0,0,3.3,0
"153","winter","medium","low",8.4,11.7,56.717,4.665,54.778,97.333,313.60001,1.1,2.2,1.5,0,2.2,0,77.6,0
"154","spring","small","low",7.9,6,127.833,3.685,176.66701,9,75.207,1.2,35.5,0,0,3.4,20.8,0,0
"155","autumn","large","high",8.3,10.53,1.549,5.41,165,12,69.93,14.7,7.6,72.6,0,0,4.8,0,0
"156","spring","medium","high",7.8,8.4,87,2.899,124,261.60001,244,1.4,0,15.9,0,1.7,8,0,0
"157","summer","large","medium",8.3,11.1,7,2.22,18,1,130.75,18.3,51.8,0,16,5,8.7,0,0
"158","summer","medium","low",9.7,7.4,28.333,0.735,32,267.75,7.654,40,2.8,13.2,4.1,2.6,0,0,15.1
"159","autumn","medium","high",8.1,6,19.22,0.825,96.833,51.111,140.517,2,0,14.6,1.8,0,0,0,1.4
"160","winter","large","medium",7.8,7.1,12.536,0.536,62.5,3,14,6.5,1.4,21.6,0,2,5.5,0,0
"161","summer","medium","high",8,3.6,65.75,0.673,31.333,102,61.5,30.4,1.7,2.9,3.3,0,6.7,0,3.9
"162","spring","large","medium",9,8.7,30.523,0.102,39,111.25,624.73297,1,37.3,0,25.9,11.5,0,9.9,1.4
"163","summer","medium","high",8.7,13.1,63.51,4.82,103.333,159.16701,152.33299,0.8,17,1,0,0,0,52.5,0
"164","spring","small","medium",8.4,7.6,43.09,1.203,421.66699,58.222,4,3.6,3.4,20.6,2.3,0,7.3,0,1.9
"165","spring","medium","high",8.3,3.2,16,1.72,101.667,3.545,56.091,5.609,1.2,1.7,13.5,0,2.5,0,3.9
"166","autumn","medium","medium",8,9.6,32.3,2.316,125.333,173,214,3.8,1.1,0,0,0,0,0,0
"167","spring","large","high",7.72,10.8,26.76,4.03,32.727,102.364,111.375,8.1,0,11.2,2.9,1.7,0,0,0
"168","summer","medium","medium",7.74,11.1,10.4,1.651,24064,16.8,194.10001,3.3,6.7,0,1.4,0,9.2,0,1
"169","autumn","medium","low",7.29,8.9,5.273,0.91,130,221.89999,186.5,0.8,29.5,0,3.1,0,0,22.3,1.7
"170","autumn","small","low",8.06,4.4,64.093,2.443,627.27301,36,6,9.384,25.5,0,0,0,0,17.1,0
"171","winter","small","medium",8.24,9.8,95.367,0.866,22.5,205.636,173.75,20.578,3.8,13.2,0,5,7.4,5.1,0
"172","summer","medium","low",8.15,8.2,8,0.701,20,346.16699,23,17.2,4.4,0,0,2.2,0,0,3.6
"173","winter","large","medium",7.77,9.5,187.183,5.456,124.364,57.6,10.111,6.429,0,3.8,5.6,1.7,5.5,0,6.1
"174","spring","large","medium",7.6,10.5,15.541,4.86,66.667,104.222,137.778,12.1,0,12.7,0,0,0,0,0
"175","winter","medium","medium",7.7,11.3,208.364,1.587,197.909,55,103.2855,28.567,52.4,1.2,1.1,0,19,0,7.8
"176","winter","medium","high",7.79,10.7,58.331,4.188,96.667,23,61.444,98.817,1.1,0,3.7,0,0,0,0
"177","autumn","large","medium",8.25,9.8,59.067,0.23,146.66701,15.6,56.667,4.5,1.4,31.9,1.7,0,0,0,6
"178","spring","small","high",8.1,9.9,2.933,2.68,65.455,25.167,86.997,20.8,2.5,9.7,2,44.6,2.2,7,1.2
"179","winter","large","high",8.5,9.8,5.326,5.694,380,38.625,19,5.083,42.5,0,1,0,1.2,0,0
"180","autumn","large","medium",9.1,10.1,94,3.318,16.2,38.75,3,20.87,0,0,1.2,0,0,0,0
"181","summer","medium","high",8.5,6.3,9,1.873,137,3.8,13.2,19.4,33.9,4.6,1,6.8,0,0,0
"182","winter","large","high",8.6,9.7,81.333,9.715,505,72,88.5,20.6,19.4,1.6,0,0,9.2,0,3.2
"183","autumn","medium","medium",7.83,11.8,7,1.726,1131.66003,62.625,11,5.62,17.3,11.3,19.7,0,18.7,1.4,1.2
"184","autumn","large","medium",8.6,9.5,5.889,1.328,128.571,18.25,269.66699,15,54.4,12,0,4.6,19.7,15.8,0
"185","autumn","small","high",8.05,9.8,53,0.699,6400,53.625,246.66701,2,0,0,0,6.9,35.6,0,3.2
"186","summer","medium","high",7.7,10,2.111,2.818,578,53,276,46.075,10.3,0,3,5,1.4,7.1,0
"187","winter","small","high",7.6,10.8,3.86,2.978,12.5,21.083,21.3,17.491,3.3,0,0,28.8,0,1.5,0
"188","winter","large","high",6.5,8.2,32.4,3.73,76,51.125,17,6.9,11.3,0,0,2.2,5.6,3.9,2.1
"189","spring","small","medium",8.6,5.4,136,7.195,82.1,143.71001,47,22.5,14.6,0,0,0,7.5,0,0
"190","autumn","medium","medium",7.4,8.8,22.32,45.65,17.778,75,45,1.7,39.1,0,1,0,5.5,17.8,0
"191","spring","medium","medium",8.4,11.4,7.333,0.23,103,20,81.558,11.1,32.5,4.3,1.2,0,0,0,1
"192","spring","medium","high",8,5.8,77,0.86,54.75,19.727,50.455,1.3,46.8,32.8,1.7,0,8,4.6,2.1
"193","spring","large","high",8.7,6,71.444,6.54,153.75,30.75,120.889,1.5,39.7,2.7,0,3,0,0,0
"194","spring","small","high",7.44,11.1,4.575,3.978,5,236.39999,388.16699,9,0,14.7,2.9,4.6,0,5.9,7
"195","autumn","large","medium",8.7,10.8,130.67,2.586,46.2,7.75,215.5,2.5,66.9,0,19.5,0,6.1,0,2.7
"196","spring","medium","medium",8.4,11.1,32.73,3.833,10,39,79.75,0.9,66,12,0,0,2.7,0,30.1
"197","summer","large","medium",8.1,6.2,14.32,1.208,1729,16.833,296,4.667,9.2,7,0,0,2.9,10.3,1
"198","winter","medium","medium",8.2,5.9,139.989,1.172,647.57001,47.5,140.22,3,0,0,7.5,2.1,0,0,2.3
"199","spring","small","medium",8,4.5,4.7,1.732,103.333,19.111,20.75,5.475,5.7,21.1,14,1,0,0,4.9
"200","summer","small","medium",8,11.8,61.05,2.8,33.636,136.75,7,3.1,0,10.4,7.8,2.1,0,0,2.2
4)
"","season","size","speed","mxPH","mnO2","Cl","NO3","NH4","oPO4","PO4","Chla","a1","a2","a3","a4","a5","a6","a7"
"1","winter","small","high",8,9.4,41.163,6.238,105.556,105,122,50,0,4.7,0,0,34.2,0,0
"2","spring","small","medium",8.4,5.5,9,1.288,1495,33.8,558.75,3.5,18.9,36.6,0,2.4,3.4,0,1.9
"3","autumn","large","low",7.7,11.1,40.02,2.273,15,27,46.438,3,2.4,16,1.2,0,0,22.9,6.1
"4","autumn","small","medium",8.06,10.6,29.2,0.05,98.182,61.182,344.60001,2.86,2.4,0,18.9,0,1.7,4.1,2.9
"5","autumn","small","high",9.1,10.6,32.92,0.63,13.5,45.9,97.58,10.5,7.8,3.9,0,0,0,11.1,1
"6","summer","medium","low",7.8,10,66.3,4.17,58.5,53,228.364,68.05,2.4,12.5,0,0,0,0,0
"7","summer","medium","high",7.9,1.5,54.143,3.02,345.45499,55,171.272,2.338,0,1.4,0,3.9,4.9,1.4,0
"8","autumn","medium","high",7.6,9.2,4.545,3.316,8,196.62,60,13.1,2,5,3.9,0,15.3,0,1.7
"9","summer","small","medium",8.55,10.5,32.92,1.32,1990.16003,26,104,11.84,1.2,5.4,1,0,1.2,0,3.4
"10","summer","medium","high",6.6,9.9,94.405,3.561,178.57001,8.692,211.66701,1,0,8.9,0,2.9,0,0,2.7
"11","winter","medium","high",8.5,10.2,11.818,1.287,53.846,32,284,18.37,14.7,1,0,1.7,0,0,0
"12","winter","medium","low",8.3,9.4,12.778,1.003,20,38.625,14.354,3.2,32.1,0,4.7,0,0,0,0
"13","winter","medium","high",7.925,9.6,64,1.223,10,264.89999,116.2,1.1,46.6,5.8,1.5,2.7,0,0,0
"14","summer","small","high",8.56,3.4,41.5,4.053,10,82.222,102.571,4.3,47.1,6.4,0,1,0,6.8,0
"15","winter","small","high",7.9,10.68,69.75,1.448,132.25,14.667,167.89999,3.9,1.6,2.1,2.1,0,0,16.6,2.7
"16","autumn","medium","high",7.7,11.5,43.97,3.07,160,20,239,18.37,24.3,0,1.7,2,0,1.6,0
"17","winter","medium","medium",7.5,9.2,9.055,0.381,137.27299,54,50,0.4,46.2,38.5,0,0,12.4,6.8,4.2
"18","autumn","medium","high",7.14,8.6,3.275,9.08,40,35.333,132.54601,0.5,1.6,3.4,1.7,0,7.7,1.5,3.2
"19","spring","small","low",7.35,4.9,70,0.445,101.25,59.429,27.5,2,0,1.9,9.9,4,0,6.4,0
"20","spring","medium","medium",8.5,10.4,5,2.822,1081.66003,12.75,84.46,3.7,43.7,1.7,13.6,4.9,10.6,0,0
"21","summer","large","high",7.83,6,4.326,4.825,486.5,282.16699,275.14301,16,0,0,0,6.8,2.7,11.5,0
"22","summer","small","high",8.3,9,10.936,1.921,914,27.667,303.33301,0.5,24.8,0,0,2.3,34.3,4.7,0
"23","spring","small","medium",7.75,10.2,29.5,3.245,27.286,125.667,35.2,7.6,23.2,18.4,21.7,2.5,27.6,12.7,0
"24","winter","small","high",7.2,5.3,1.45,1.715,208.33299,61.25,87.125,9.882,14.4,0,1,0,0,8.7,0
"25","winter","large","medium",7.84,4.3,37.6,0.9,723.66699,41.5,277.33301,1.4,10.8,0,2.5,3.5,0,29.5,0
"26","autumn","large","medium",8.6,6.1,15,3.351,46.5,49,287,13,4.1,15.7,8.8,0,5.9,10.1,0
"27","summer","small","high",8.1,12.9,11.867,2.512,28,9,84,3.3,2.1,0,0,1.9,14.9,0,0
"28","spring","small","high",8.2,11.6,6.3,1.42,20,26.6,72.9,4.5,30.3,0,0,0,7.5,0,1.9
"29","autumn","small","medium",7.9,9.8,8.69,3.908,133.636,16,121,0.8,31.1,0,19.6,0,0,0,2.5
"30","autumn","small","medium",8.66,10.2,40.167,2.942,92.375,60,326.85699,0.5,0,4.1,14.6,0,0,42.1,1.7
"31","winter","medium","medium",7.8,5.3,8.3,3.33,60,9.667,169.00101,3.2,3.4,16,42.8,0,1.4,12.6,0
"32","winter","large","high",8.4,11.9,42.636,3.78,60,166.72701,108,13.1,0,17.1,1.9,0,4,5.1,4.1
"33","spring","medium","high",7.4,4.5,26,6.2,76.667,120.5,197.14301,6.4,1.9,1,5.5,0,2.1,42.7,1.2
"34","spring","small","medium",7.6,9.4,53,1.013,52.2,51.111,253.25,30,81.9,9.1,0,0,5.7,0,6.6
"35","winter","large","high",8.27,10.29,23.825,3.316,32.5,144,111.75,0.5,7.2,0,1.2,0,5.8,0,0
"36","summer","small","low",8.8,8.4,44,1.415,27.5,58.875,44.136,0.5,1.4,0,2.4,0,0,0,1
"37","winter","small","high",5.6,8.1,131.39999,9.773,196.66701,64,146.452,3,0,8,4.1,0,0,6.7,1.6
"38","summer","medium","low",8.7,8.2,49.625,10.416,245,2.5,20.812,1.3,12.6,1.7,0,0,8.6,17,0
"39","spring","large","medium",7.3,9.8,16,2.64,18.333,44.667,213,6.209,1.7,38.8,35.1,3.7,8.6,49.4,0
"40","autumn","medium","medium",6.6,6.5,41.25,3.976,228.75,182.42,98.25,6.8,19,6,1,0,44.4,0,0
"41","winter","small","medium",7.4,11.2,46.167,6.096,102.75,220.75,205.875,6.8,0,22,0,5.3,0,0,0
"42","spring","medium","low",7.91,9.9,82.857,0.846,65.556,10.583,6,13.2,2.2,21.7,2.5,6.2,3.2,0,0
"43","winter","medium","medium",8,7.7,70,2.954,12.5,12.889,6.667,1,12.7,0,7.5,0,0,0,2.4
"44","winter","small","low",8.3,10.6,391.5,7.83,14.75,2,98.143,4,64.9,7.6,3.3,0,2.9,0,0
"45","summer","small","high",8.3,10.3,30.125,2.102,2082.8501,6.5,154.125,2,3.7,3.1,1,0,3.1,5.5,2.9
"46","winter","large","medium",8.3,12.5,5.83,5.442,134,78.333,43.5,0.8,2.8,5,10.8,3.2,0,2.6,2.2
"47","spring","large","low",8.4,4.8,47,0.376,4073.33008,16,292.625,0.8,0,12.7,1.4,4.8,6.4,2,0
"48","winter","small","high",7.19,12.6,47.778,1.374,72.6,70,272.22198,3,1.9,0,2.4,0,0,0,1.4
"49","autumn","small","medium",8.2,10.7,43,5.132,40,27,58.374,10,9.2,0,3.3,2.2,0,0,0
"50","summer","small","medium",9.1,7.8,17.75,0.658,370,22.444,18,5.5,69.9,41,0,0,6.6,0,0
"51","summer","medium","medium",8.1,8.1,22.35,1.87,192.5,16,6,7.9,0,0,5.4,0,1.2,0,1.4
"52","summer","large","medium",6.4,9.8,51.113,1.39,120,175.66701,61.6,1.1,0,8.7,10.3,0,5.4,0,1.1
"53","spring","medium","medium",7.9,11.8,55.35,4.408,102.5,19.111,66.75,5.555,7,0,0,0,0,0,0
"54","autumn","large","low",7.2,9,65.333,3.765,122.85,180.66701,46.6,0.8,4.2,3.4,0,0,2.7,17.7,0
"55","summer","large","medium",7.5,7.1,40.226,8.759,89.6,151.125,200.231,17.2,0,0,10.1,11,1.4,0,0
"56","autumn","small","high",8.16,8.5,29.775,3.14,737.5,85.5,304,27.618,4,0,0,0,1,0,2.4
"57","spring","medium","high",6.6,7.7,6.167,1.32,10,1,77.434,6.9,58.7,0,0,7.7,0,0,0
"58","spring","small","medium",9,10.7,27.4,2.304,10,234.5,6,0.6,17.1,3.1,2.2,0,0,7.9,0
"59","spring","medium","high",6.6,6.5,0.8,4.508,643,181,102.333,0.6,1.7,1.9,22,0,6.6,0,0
"60","summer","large","high",7.78,6.6,22.35,2.231,920,1,11.5,24.556,0,11.6,1.9,0,0,1.2,1.4
"61","winter","small","medium",8.7,11.7,44,5.97,170.909,24,85,15.6,1.2,0,0,0,0,0,0
"62","winter","small","medium",8,9.6,79.077,1.588,34.333,412.33301,127,2.5,12.5,0,1,0,1.2,1.9,1.7
"63","autumn","small","medium",7.45,8.8,31.091,5.414,18.429,3.333,3,2.1,0,0,22.9,0,0,1.4,0
"64","summer","medium","medium",7.6,11.3,45.273,4.555,1911,2,170,2,20.3,4.3,0,0,0,2.6,12.5
"65","summer","large","high",8.1,11,47.229,3.14,21.571,104.5,7.2,2.9,15.8,0,7.8,0,6.1,7.5,1.2
"66","winter","large","high",6.8,6.3,3.136,0.923,346.66699,159.5,19,5.111,4.1,0,1.7,0,6.5,0,0
"67","summer","small","medium",8.1,10.7,88,3.444,112.857,144.66701,54.916,4.5,0,0,12.9,3.5,22.5,0,0
"68","autumn","small","medium",8.47,11.17,22.455,0.921,10,20.667,91.111,21.9,55.5,16.4,0,4,0,0,0
"69","spring","large","medium",8.2,10.3,57.848,3.773,25.833,27.25,351.60001,11.6,48.3,0,1.5,0,0,0,2.1
"70","winter","medium","medium",7.5,10.77,7.613,6.188,155,1.625,186,3,64.3,0,4.9,4.6,2.6,0,1.9
"71","spring","small","high",8.7,10.5,12.444,3.778,239,26.625,89.625,7.3,13.6,2.1,1.2,0,9,8.3,0
"72","spring","medium","high",7.62,10.5,69,1.474,2167.37012,4,138.5,5.2,3.6,0,9.4,1.2,13.3,10.6,1.6
"73","summer","medium","low",8.43,10.2,7.25,6.225,5.8,197.83299,72.696,4.9,5.9,4,8.8,0,11.7,21.4,31.6
"74","winter","medium","high",7.57,9.2,7,3.617,244.60001,13,249.25,27.5,52.2,10.5,0,1.2,9.9,17,25.6
"75","summer","medium","low",8.5,10.7,12.146,4.87,118.571,100,320.39999,54.367,8.8,0,17.6,2.2,11.5,0,2.7
"76","autumn","small","high",8.6,10.9,32.54,2.323,37.5,39,39,26.8,2.2,0,6.6,1.3,9.4,2.4,0
"77","autumn","medium","medium",9.06,7,12.182,0.308,35,45,26,5.45,6.9,5.9,3,1,1.9,0,0
